name,age,nationality,overall,club,preferred_foot,jersey number,contract valid until,height,weight,league,speciality
A. Xhemajli,20,Kosovo,58,Neuchâtel Xamax,Left,27,2019,75,179,RAIFFEISEN SUPER LEAGUE,No Speciality
A. Buxton,26,England,58,Tranmere Rovers,Right,2,2019,73,179,EFL LEAGUE TWO,No Speciality
M. Gillesphey,22,England,58,Carlisle United,Left,12,2020,71,154,EFL LEAGUE TWO,No Speciality
G. Banaziak,21,France,58,Amiens SC,Right,30,2019,72,150,LIGUE 1 CONFORAMA,Goalkeeper
A. Singh,25,India,58,Free Agent,Right,16,Free Agent,73,179,0,Goalkeeper
D. Sváček,21,Czech Republic,58,Viktoria Plzeň,Right,29,2019,76,187,REST OF WORLD,Goalkeeper
D. Sauerland,21,Germany,58,Eintracht Braunschweig,Right,2,2020,71,159,0,No Speciality
G. Kelly,21,Republic of Ireland,58,Dundalk,Right,45,2020,74,170,SSE AIRTRICITY LEAGUE,No Speciality
Y. Fujita,35,Japan,58,Júbilo Iwata,Right,33,2021,71,168,MEIJI YASUDA J1,No Speciality
S. Duke-McKenna,17,England,58,Bolton Wanderers,Right,43,2021,67,143,0,No Speciality
D. Mosquera,22,Colombia,58,Itagüí Leones FC,Right,6,2023,75,190,0,Strength
K. Majić,20,Croatia,58,Fortuna Düsseldorf,Right,36,2020,71,165,0,No Speciality
A. Al Ghamdi,23,Saudi Arabia,58,Al Raed,Left,91,2020,70,161,SAUDI PROFESSIONAL LEAGUE,Goalkeeper
M. Real,18,United States,58,Philadelphia Union,Left,32,2021,71,161,0,No Speciality
F. Schwarzholz,18,Germany,58,FC Augsburg,Right,40,2022,71,165,BUNDESLIGA,No Speciality
A. Majrashi,22,Saudi Arabia,58,Ettifaq FC,Right,20,2022,65,128,SAUDI PROFESSIONAL LEAGUE,No Speciality
E. Maceira,22,Venezuela,58,SD Huesca,Left,32,2019,70,152,LALIGA SANTANDER,No Speciality
Pei Shuai,25,China PR,58,Tianjin Quanjian FC,Left,6,2021,73,174,CSL,No Speciality
D. Nizic,23,Australia,58,Western Sydney Wanderers,Left,1,2020,77,170,0,Goalkeeper
F. Al Habib,20,Saudi Arabia,58,Al Shabab,Right,40,2020,71,152,SAUDI PROFESSIONAL LEAGUE,Goalkeeper
J. Archer,24,England,58,Bury,Right,17,2020,75,183,EFL LEAGUE TWO,No Speciality
Li Guang,27,China PR,58,Changchun Yatai FC,Right,32,2020,69,163,CSL,No Speciality
E. Osadebe,21,Republic of Ireland,58,Cambridge United,Right,15,2019,74,157,0,No Speciality
Du Wenyang,28,China PR,58,Hebei China Fortune FC,Right,16,2018,72,165,CSL,No Speciality
B. Singh,31,India,58,Free Agent,Right,10,Free Agent,71,157,0,No Speciality
E. Granat,22,Sweden,58,GIF Sundsvall,Right,26,2018,68,134,ALLSVENSKAN,No Speciality
V. Cordoba,30,Colombia,58,Itagüí Leones FC,Right,17,2021,71,179,0,No Speciality
L. Schelenz,19,Germany,58,KFC Uerdingen 05,Left,3,2019,72,154,0,No Speciality
A. Morley,18,England,58,Rochdale,Right,28,2019,72,159,EFL LEAGUE ONE,No Speciality
M. Nikolić,20,Sweden,58,IF Brommapojkarna,Left,18,2018,72,161,0,No Speciality
J. Pestaña,20,Colombia,58,Atlético Huila,Right,16,2021,72,154,LIGA DIMAYOR,No Speciality
E. Dick,23,United States,58,Sporting Kansas City,Right,18,2018,77,205,0,Goalkeeper
B. Williams,35,England,58,Bolton Wanderers,Right,27,2019,74,190,0,Goalkeeper
J. Tilley,20,England,58,Brighton & Hove Albion,Left,43,2020,67,146,PREMIER LEAGUE,No Speciality
Liu Yingchen,25,China PR,58,Dalian YiFang FC,Right,21,2021,73,170,CSL,No Speciality
C. Antwi,18,Ghana,58,FC Nordsjælland,Left,38,2021,67,154,SUPERLIGA,No Speciality
J. Albrecht,20,Germany,58,SV Wehen Wiesbaden,Right,19,2019,76,196,0,Goalkeeper
J. Sands,17,United States,58,New York City FC,Right,16,2021,71,161,MLS,No Speciality
J. Muñoz,24,Colombia,58,Boyacá Chicó FC,Right,21,2021,66,132,0,No Speciality
J. Hoekstra,19,Netherlands,58,FC Groningen,Right,31,2020,75,165,EREDIVISIE,Goalkeeper
K. Niemczycki,18,Poland,58,NAC Breda,Right,26,2019,76,185,EREDIVISIE,Goalkeeper
M. Al Subaie,22,Saudi Arabia,58,Ettifaq FC,Right,29,2023,72,150,SAUDI PROFESSIONAL LEAGUE,No Speciality
Park Ji Min,18,Korea Republic,58,Suwon Samsung Bluewings,Right,29,2021,74,190,0,Goalkeeper
H. Al Ghamdi,19,Saudi Arabia,58,Ettifaq FC,Right,6,2023,63,130,SAUDI PROFESSIONAL LEAGUE,No Speciality
S. Ucar,19,Turkey,58,DSC Arminia Bielefeld,Right,38,2020,69,143,0,No Speciality
N. Quindt,21,Germany,58,VfL Sportfreunde Lotte,Right,30,2019,72,165,0,Goalkeeper
M. Kahrıman,18,Turkey,58,Medipol Başakşehir FK,Right,31,2023,69,137,SÜPER LIG,No Speciality
S. Gubari,22,Iraq,58,SCR Altach,Right,15,2019,70,148,Ö. BUNDESLIGA,No Speciality
L. Mulaj,19,Switzerland,58,Neuchâtel Xamax,Right,28,2020,68,143,RAIFFEISEN SUPER LEAGUE,No Speciality
Z. Herivaux,22,Haiti,58,New England Revolution,Right,21,2023,73,150,0,No Speciality
G. McGregor,19,England,58,Crystal Palace,Right,36,2020,69,157,PREMIER LEAGUE,No Speciality
T. Campbell,21,England,58,Forest Green Rovers,Right,14,2019,73,150,0,No Speciality
K. Kesgin,17,Turkey,58,Göztepe SK,Right,60,2020,70,168,0,No Speciality
M. Staniszewski,21,Poland,58,Arka Gdynia,Right,97,2020,75,176,EKSTRAKLASA,Goalkeeper
Y. Fortune,19,France,58,FC Sion,Right,25,2022,70,168,RAIFFEISEN SUPER LEAGUE,No Speciality
T. Cuello,18,Argentina,58,Atlético Tucumán,Right,28,2022,70,141,SAF,No Speciality
Pedro Gonçalves,20,Portugal,58,Wolverhampton Wanderers,Right,26,2019,68,154,PREMIER LEAGUE,No Speciality
K. Ayong,20,Czech Republic,58,Piast Gliwice,Right,14,2021,73,176,EKSTRAKLASA,No Speciality
L. Italiano,27,Australia,58,Newcastle Jets,Left,21,2019,74,183,HYUNDAI A-LEAGUE,Goalkeeper
J. Powell,19,England,58,West Ham United,Left,50,2019,70,150,PREMIER LEAGUE,No Speciality
M. Urynowicz,22,Poland,58,Górnik Zabrze,Right,20,2020,74,172,EKSTRAKLASA,No Speciality
E. Navarrete,22,Chile,58,Audax Italiano,Left,33,2018,67,152,CAMP. SCOTIABANK,No Speciality
T. Vassell,21,England,58,Port Vale,Right,21,2019,72,154,EFL LEAGUE TWO,No Speciality
T. Cordner,19,England,58,Bournemouth,Right,55,2019,71,165,PREMIER LEAGUE,No Speciality
G. Tryggvason,18,Iceland,58,IK Start,Right,17,2020,72,154,ELITESERIEN,No Speciality
C. Higuera,17,Mexico,58,Club Tijuana,Right,81,2021,72,170,0,Goalkeeper
M. Onuoha,19,Germany,58,VfR Aalen,Right,30,2020,69,159,3. LIGA,No Speciality
A. Bacci,22,Italy,58,Ascoli,Right,12,2019,75,194,CALCIO B,Goalkeeper
J. Hodek,20,Germany,58,FSV Zwickau,Right,24,2019,70,170,3. LIGA,No Speciality
Y. Letard,19,France,58,VfR Aalen,Right,4,2020,74,190,3. LIGA,No Speciality
Han Xuan,27,China PR,58,Henan Jianye FC,Right,4,2020,76,187,0,No Speciality
R. Isomura,27,Japan,58,V-Varen Nagasaki,Right,38,2021,72,161,MEIJI YASUDA J1,No Speciality
I. Lara,22,Chile,58,San Luis de Quillota,Left,4,2021,69,165,0,No Speciality
J. Jaime,20,Argentina,58,San Martin de Tucumán,Right,1,2021,70,152,0,Goalkeeper
F. Al Sagour,22,Saudi Arabia,58,Al Wehda,Right,27,2023,70,132,SAUDI PROFESSIONAL LEAGUE,No Speciality
L. Hernández,20,Mexico,58,Club Necaxa,Right,3,2020,72,170,0,No Speciality
N. da Silva,24,Switzerland,58,FC Thun,Left,24,2020,67,143,RAIFFEISEN SUPER LEAGUE,No Speciality
R. Hirosue,19,Japan,58,FC Tokyo,Right,30,2018,72,181,0,Goalkeeper
L. Croll,23,England,58,Exeter City,Left,23,2019,73,168,EFL LEAGUE TWO,No Speciality
T. Baack,19,Germany,58,VfL Bochum 1848,Right,31,2019,71,163,0,No Speciality
K. Bucker,22,Netherlands,58,Heracles Almelo,Right,26,2020,78,190,EREDIVISIE,Goalkeeper
M. Miljevic,17,United States,58,Argentinos Juniors,Right,31,2021,70,159,0,No Speciality
M. Brink,20,Denmark,58,Esbjerg fB,Right,21,2021,70,159,SUPERLIGA,No Speciality
A. Bakayoko,20,France,58,FC St. Gallen,Right,93,"Jun 30, 2019",70,152,RAIFFEISEN SUPER LEAGUE,No Speciality
W. Tchuameni,21,Cameroon,58,SønderjyskE,Right,32,2021,76,194,SUPERLIGA,No Speciality
D. İncedere,21,Turkey,58,Galatasaray SK,Left,41,2021,67,137,SÜPER LIG,No Speciality
S. Kjellevold,23,Norway,58,Stabæk Fotball,Right,1,2019,73,154,ELITESERIEN,Goalkeeper
J. Þorsteinsson,19,Iceland,58,Vendsyssel FF,Right,19,"Jun 30, 2019",70,161,SUPERLIGA,No Speciality
M. Worthington,20,England,58,Forest Green Rovers,Right,21,"Jan 1, 2019",70,159,0,No Speciality
J. Tratt,23,Australia,58,Sydney FC,Right,18,2018,75,187,HYUNDAI A-LEAGUE,No Speciality
J. Kelly,28,Republic of Ireland,58,Bray Wanderers,Left,11,2018,72,161,SSE AIRTRICITY LEAGUE,No Speciality
L. Grill,19,Germany,58,1. FC Kaiserslautern,Right,22,2021,75,192,0,Goalkeeper
D. Lyon,23,Scotland,58,Peterborough United,Right,22,2019,73,168,0,No Speciality
F. Pizzicanella,22,Argentina,58,Atlético Tucumán,Right,13,2021,72,185,SAF,Goalkeeper
J. Pantemis,21,Canada,58,Montreal Impact,Right,41,2019,74,174,MLS,Goalkeeper
R. Wilmots,21,Belgium,58,Carpi,Right,33,2020,74,168,CALCIO B,No Speciality
E. Boyle,21,Republic of Ireland,58,Shamrock Rovers,Right,2,2018,71,183,SSE AIRTRICITY LEAGUE,No Speciality
M. Sprang,17,Germany,58,FSV Zwickau,Right,26,2019,76,174,3. LIGA,Goalkeeper
R. Acquah,21,Ghana,58,LASK Linz,Right,55,2021,72,176,Ö. BUNDESLIGA,No Speciality
M. Wada,21,Japan,58,Yokohama F. Marinos,Right,29,2021,70,163,0,No Speciality
A. Canessa,18,Italy,58,Livorno,Right,37,2021,73,176,CALCIO B,No Speciality
R. Cagnon,21,France,58,Olympique de Marseille,Right,1,2019,75,179,LIGUE 1 CONFORAMA,Goalkeeper
M. Roerslev,19,Denmark,58,FC København,Right,18,2021,71,148,SUPERLIGA,No Speciality
A. Azeez,24,England,58,Cambridge United,Right,10,2019,72,176,0,No Speciality
M. Holzer,19,Austria,58,TSV Hartberg,Right,11,2019,73,170,Ö. BUNDESLIGA,No Speciality
L. Travis,20,England,58,Blackburn Rovers,Right,27,2021,69,154,EFL CHAMPIONSHIP,No Speciality
Mario Sánchez,22,Spain,58,Cádiz CF,Right,32,2019,71,165,LALIGA 1 | 2 | 3,No Speciality
Valery,18,Spain,58,Girona FC,Right,34,2021,71,165,LALIGA SANTANDER,No Speciality
R. Al Ghamdi,24,Saudi Arabia,58,Al Batin,Right,17,2020,70,152,SAUDI PROFESSIONAL LEAGUE,No Speciality
C. Gutiérrez,19,Mexico,58,U.N.A.M.,Right,18,2021,70,148,LIGA BANCOMER MX,No Speciality
D. Webster,28,Republic of Ireland,58,St. Patrick's Athletic,Right,31,2019,76,172,0,No Speciality
Kim Hyo Gi,31,Korea Republic,58,Gyeongnam FC,Right,20,2022,70,165,K-LEAGUE 1,No Speciality
J. Inamoto,38,Japan,58,Hokkaido Consadole Sapporo,Right,17,2022,71,170,0,No Speciality
J. McDonnell,24,England,58,AFC Wimbledon,Right,24,2019,70,139,EFL LEAGUE ONE,Goalkeeper
W. Ali,19,Denmark,58,Aalborg BK,Right,30,2021,73,172,SUPERLIGA,No Speciality
A. Jakobsen,19,Denmark,58,Vejle Boldklub,Right,12,2021,72,165,SUPERLIGA,No Speciality
L. Bonilla,20,Colombia,58,Patriotas Boyacá FC,Right,21,2021,69,150,0,No Speciality
T. Duman,20,Germany,58,Fortuna Düsseldorf,Right,27,2019,70,165,0,No Speciality
M. Woud,19,New Zealand,58,Willem II,Right,12,2020,77,187,EREDIVISIE,Goalkeeper
J. Löwe,19,Germany,58,SG Dynamo Dresden,Right,34,2019,66,143,0,No Speciality
B. Rivas,21,Colombia,58,Atlético Huila,Right,37,2021,69,154,LIGA DIMAYOR,No Speciality
S. Cartwright,17,England,58,Peterborough United,Right,33,2019,73,165,0,No Speciality
A. Ademoglu,20,Belgium,58,Bursaspor,Right,41,2019,71,159,SÜPER LIG,No Speciality
Y. Oyanedel,17,Chile,58,Universidad Católica,Left,15,2019,67,146,0,No Speciality
Lim Eun Soo,22,Korea Republic,58,Incheon United FC,Right,39,2021,72,150,0,No Speciality
R. van Doorn,19,Netherlands,58,De Graafschap,Right,42,2019,72,170,EREDIVISIE,No Speciality
J. Harris,31,England,58,Tranmere Rovers,Right,8,2019,67,161,EFL LEAGUE TWO,No Speciality
José Uche,18,Spain,58,SD Huesca,Left,26,2019,72,161,LALIGA SANTANDER,No Speciality
M. Arturia,20,Argentina,58,Club Atlético Talleres,Right,24,2021,74,168,0,No Speciality
K. Goba,30,France,58,La Berrichonne de Châteauroux,Right,15,2021,73,181,0,No Speciality
E. Bansen,20,Germany,58,SV Zulte-Waregem,Right,44,2021,77,201,0,Goalkeeper
J. Lunney,20,Republic of Ireland,58,Waterford FC,Left,35,2019,69,154,SSE AIRTRICITY LEAGUE,No Speciality
M. Cooper,18,England,58,Plymouth Argyle,Right,31,2020,71,165,EFL LEAGUE ONE,Goalkeeper
J. Orellana,21,Argentina,58,San Martin de Tucumán,Right,28,2021,76,165,0,No Speciality
B. Kavlak,21,Turkey,58,Yeni Malatyaspor,Right,43,2020,70,143,SÜPER LIG,No Speciality
G. Abregú,20,Argentina,58,San Martin de Tucumán,Right,25,2021,67,148,0,No Speciality
J. Doona,20,Republic of Ireland,58,St. Patrick's Athletic,Right,12,2019,70,141,0,No Speciality
R. Blumberg,19,Australia,58,Charlton Athletic,Left,38,2021,67,143,0,No Speciality
M. Panos,21,France,58,AS Saint-Étienne,Right,35,2019,71,174,LIGUE 1 CONFORAMA,No Speciality
C. Coleman,21,Republic of Ireland,58,St. Patrick's Athletic,Right,29,2021,71,154,0,No Speciality
M. O'Riley,17,England,58,Fulham,Left,33,2020,74,170,PREMIER LEAGUE,No Speciality
A. Gafaiti,23,Algeria,58,Yeovil Town,Right,2,2022,73,168,EFL LEAGUE TWO,No Speciality
P. Edwards,32,England,58,Bury,Right,14,2019,68,157,EFL LEAGUE TWO,No Speciality
G. Lapslie,20,England,58,Charlton Athletic,Right,32,2019,68,146,0,No Speciality
M. Gonzalez,20,Chile,58,CD Everton de Viña del Mar,Right,25,2021,69,183,0,Goalkeeper
L. Ingolotti,18,Argentina,58,Club Atlético Aldosivi,Right,31,2022,71,172,0,Goalkeeper
G. Pozos,25,Mexico,58,Club León,Right,1,2021,71,159,0,Goalkeeper
A. Aliev,21,Russia,58,Dalkurd FF,Right,22,2021,74,183,ALLSVENSKAN,No Speciality
M. Bauer,18,Germany,58,SpVgg Greuther Fürth,Right,38,2020,74,174,0,No Speciality
B. Sielewski,33,Poland,58,Wisła Płock,Right,5,2020,74,183,EKSTRAKLASA,No Speciality
A. Talal,22,Morocco,58,US Orléans Loiret Football,Left,29,2019,69,150,0,No Speciality
K. Schlotterbeck,21,Germany,58,SC Freiburg,Left,31,2022,74,185,BUNDESLIGA,No Speciality
G. Kilama,19,Cameroon,58,Chamois Niortais Football Club,Left,25,2021,71,157,0,No Speciality
J. Debayo,21,Nigeria,58,Cheltenham Town,Left,17,2019,72,150,EFL LEAGUE TWO,No Speciality
B. Chapman,19,England,58,Gillingham,Right,22,2019,69,152,EFL LEAGUE ONE,No Speciality
V. Gendrey,18,France,58,Amiens SC,Right,35,2021,70,165,LIGUE 1 CONFORAMA,No Speciality
Li Shenglong,25,China PR,58,Shanghai SIPG FC,Right,14,2020,71,165,CSL,No Speciality
M. Schlegel,21,Germany,58,FC Carl Zeiss Jena,Left,10,2019,73,165,0,No Speciality
S. Quigley,25,England,58,Port Vale,Right,14,"Jun 30, 2019",76,183,EFL LEAGUE TWO,No Speciality
Y. Bangsow,20,Germany,58,Eintracht Braunschweig,Right,21,2019,76,185,0,Goalkeeper
M. Leahy,29,Republic of Ireland,58,St. Patrick's Athletic,Right,23,2018,73,172,0,No Speciality
S. Solli,20,Norway,58,Ranheim Fotball,Right,22,2020,69,154,ELITESERIEN,No Speciality
M. Firlej,21,Poland,58,Korona Kielce,Right,17,2020,71,168,EKSTRAKLASA,No Speciality
H. Bos,25,Netherlands,58,FC Emmen,Right,30,2019,68,141,EREDIVISIE,No Speciality
J. Bird,20,England,58,Barnsley,Right,14,2021,69,137,EFL LEAGUE ONE,No Speciality
V. Arveladze,20,Georgia,58,Korona Kielce,Right,24,2020,72,161,EKSTRAKLASA,No Speciality
K. Kirihata,31,Japan,58,Kashiwa Reysol,Right,1,2021,74,170,MEIJI YASUDA J1,Goalkeeper
A. Penny,21,Wales,58,Hamilton Academical FC,Right,17,2020,73,161,0,No Speciality
J. von Moos,17,Switzerland,58,FC Basel 1893,Left,18,2021,70,157,RAIFFEISEN SUPER LEAGUE,No Speciality
G. Boylan,22,Republic of Ireland,58,Sligo Rovers,Right,2,2018,70,159,SSE AIRTRICITY LEAGUE,No Speciality
I. Chicco,22,Argentina,58,Club Atlético Colón,Right,17,2021,73,176,0,Goalkeeper
H. Arslan,29,Turkey,58,BB Erzurumspor,Left,24,2019,70,165,SÜPER LIG,No Speciality
A. Nalic,20,Sweden,58,Malmö FF,Right,22,2022,75,172,ALLSVENSKAN,No Speciality
D. Rodríguez,20,Mexico,58,U.N.A.M.,Right,42,2021,69,176,LIGA BANCOMER MX,No Speciality
S. Karweina,19,Germany,58,VfL Sportfreunde Lotte,Right,19,2020,68,143,0,No Speciality
Fabio,22,Brazil,58,Örebro SK,Right,5,2022,74,198,ALLSVENSKAN,No Speciality
M. Harness,22,England,58,Burton Albion,Right,16,2023,72,154,EFL LEAGUE ONE,No Speciality
C. Rzonca,21,England,58,Zagłębie Sosnowiec,Right,10,2020,66,146,0,No Speciality
A. Manzur,17,Argentina,58,Godoy Cruz,Right,16,2021,67,143,SAF,No Speciality
S. Bone,19,England,58,Shamrock Rovers,Right,29,2019,72,187,SSE AIRTRICITY LEAGUE,No Speciality
T. Sopacua,18,Netherlands,58,FC Groningen,Right,67,2019,69,154,EREDIVISIE,No Speciality
H. Takimoto,21,Japan,58,Kashiwa Reysol,Right,16,2021,75,174,MEIJI YASUDA J1,Goalkeeper
Geng Xiaofeng,30,China PR,58,Hebei China Fortune FC,Right,24,2021,76,172,CSL,Goalkeeper
M. Soldo,21,Austria,58,Wolfsberger AC,Right,32,2020,73,190,Ö. BUNDESLIGA,Goalkeeper
K. Petratos,20,Australia,58,Newcastle Jets,Right,19,2018,71,174,HYUNDAI A-LEAGUE,No Speciality
N. Giménez,21,Argentina,58,Rosario Central,Right,29,2021,72,165,SAF,No Speciality
Wang Xiaole,21,China PR,58,Beijing Sinobo Guoan FC,Right,36,2022,71,148,CSL,No Speciality
L. Schaffran,19,Germany,58,SpVgg Greuther Fürth,Right,25,2019,73,181,0,Goalkeeper
A. Fox,25,England,58,Grimsby Town,Left,19,2019,71,174,EFL LEAGUE TWO,No Speciality
R. Cooney,18,England,58,Bury,Right,16,2020,69,150,EFL LEAGUE TWO,No Speciality
N. Samayoa,22,Guatemala,58,New England Revolution,Right,12,2018,74,174,0,No Speciality
A. Soukouna,28,France,58,AS Béziers,Right,23,2021,72,168,DOMINO'S LIGUE 2,No Speciality
I. Bolaño,20,Argentina,58,Club Atlético Tigre,Right,30,2021,67,168,0,No Speciality
K. Ogawa,20,Japan,58,Júbilo Iwata,Right,18,2021,72,170,MEIJI YASUDA J1,No Speciality
K. Fegrouche,36,Morocco,58,IK Sirius,Right,1,2018,73,168,ALLSVENSKAN,Goalkeeper
Lee Ho Seok,27,Korea Republic,58,Sangju Sangmu FC,Right,36,"Jun 30, 2019",68,143,0,No Speciality
H. Balic,22,Bosnia Herzegovina,58,SKN St. Pölten,Right,14,2019,72,165,Ö. BUNDESLIGA,No Speciality
F. Lauenborg,21,Denmark,58,Randers FC,Right,14,2021,71,163,SUPERLIGA,No Speciality
K. Saka,23,Japan,58,Shonan Bellmare,Right,20,2021,69,159,MEIJI YASUDA J1,No Speciality
K. Buckley,26,Republic of Ireland,58,Bohemian FC,Right,16,2019,71,157,SSE AIRTRICITY LEAGUE,No Speciality
L. Scott,21,Australia,58,Western Sydney Wanderers,Right,23,2019,71,154,0,No Speciality
A. Torres,22,Mexico,58,Guadalajara,Right,35,2021,74,183,LIGA BANCOMER MX,Goalkeeper
S. McMann,21,Scotland,58,Hamilton Academical FC,Right,3,2020,71,154,0,No Speciality
A. Rosteghin,18,Italy,58,Cittadella,Left,12,2021,71,165,CALCIO B,Goalkeeper
A. Wheeler-Omiunu,23,United States,58,Atlanta United,Right,28,2018,69,174,MLS,No Speciality
N. Awuku,18,Germany,58,Holstein Kiel,Right,28,2021,72,185,0,No Speciality
B. García,20,Mexico,58,Club Tijuana,Left,33,2021,66,137,0,No Speciality
D. Riccardi,22,Italy,58,Lecce,Right,2,2022,74,161,CALCIO B,No Speciality
M. Meli,18,Italy,58,Fiorentina,Right,73,2021,70,154,SERIE A TIM,No Speciality
D. Petersson,23,Sweden,58,Trelleborgs FF,Right,32,2018,73,170,ALLSVENSKAN,Goalkeeper
E. Pauchet,21,France,58,Chamois Niortais Football Club,Right,30,2019,72,150,0,Goalkeeper
S. Farelli,35,Italy,58,Pescara,Right,21,2019,73,181,CALCIO B,Goalkeeper
E. Gründemann,19,Germany,58,FC Hansa Rostock,Right,26,2019,73,192,0,Goalkeeper
M. Ludwig,19,Germany,58,Hallescher FC,Right,18,2019,72,165,3. LIGA,No Speciality
E. Pletinckx,17,Belgium,58,SV Zulte-Waregem,Right,62,2020,75,187,0,No Speciality
A. Elyounoussi,19,Norway,58,Sarpsborg 08 FF,Right,24,2020,70,150,ELITESERIEN,No Speciality
M. Simakan,18,France,58,RC Strasbourg Alsace,Right,37,2021,74,181,0,No Speciality
G. Kyrnats,20,Russia,58,PFC CSKA Moscow,Right,22,2019,74,174,REST OF WORLD,Goalkeeper
S. Hiramatsu,25,Japan,58,V-Varen Nagasaki,Right,37,2021,72,170,MEIJI YASUDA J1,No Speciality
N. Gómez,21,Argentina,58,Rosario Central,Right,21,2021,70,163,SAF,No Speciality
N. Ralph,25,England,58,Dundee FC,Left,3,2020,69,154,SCOTTISH PREMIERSHIP,No Speciality
J. Italiano,16,Australia,58,Perth Glory,Right,26,2019,67,143,HYUNDAI A-LEAGUE,No Speciality
A. Ceesay,24,Gambia,58,FC Zürich,Left,99,2022,74,165,RAIFFEISEN SUPER LEAGUE,No Speciality
M. Awaji,23,Saudi Arabia,58,Al Shabab,Right,22,2023,73,159,SAUDI PROFESSIONAL LEAGUE,Goalkeeper
N. Baeza,21,Chile,58,CD Huachipato,Right,23,2018,69,165,CAMP. SCOTIABANK,No Speciality
C. Ross,24,Chile,58,Unión Española,Left,31,2023,71,154,CAMP. SCOTIABANK,No Speciality
Yuan Mincheng,22,China PR,58,Chongqing Dangdai Lifan FC SWM Team,Right,26,2019,74,172,0,No Speciality
C. Baldovino,21,Colombia,58,Alianza Petrolera,Right,32,2021,76,194,0,Goalkeeper
M. Rudakov,22,Russia,58,HJK Helsinki,Right,88,2019,74,165,REST OF WORLD,Goalkeeper
Han Rongze,25,China PR,58,Shandong Luneng TaiShan FC,Right,20,2020,75,154,0,Goalkeeper
J. Sbarra,19,England,58,Burton Albion,Right,9,2020,66,154,EFL LEAGUE ONE,No Speciality
F. Marín,20,Argentina,58,Club Atlético Huracán,Right,14,2021,70,163,SAF,No Speciality
J. Romero,17,Argentina,58,Atlético Tucumán,Right,30,2022,63,130,SAF,No Speciality
R. Borkała,19,Poland,58,Piast Gliwice,Right,29,2019,69,159,EKSTRAKLASA,No Speciality
P. Magnon,22,France,58,Stade Brestois 29,Right,12,2019,70,152,0,No Speciality
Marcos Lavín,21,Spain,58,Córdoba CF,Right,26,2019,74,174,LALIGA 1 | 2 | 3,Goalkeeper
C. Quenum,25,France,58,Valenciennes FC,Left,15,2020,72,176,DOMINO'S LIGUE 2,No Speciality
Y. Akiyama,23,Japan,58,Nagoya Grampus,Right,14,2021,67,150,MEIJI YASUDA J1,No Speciality
S. Parlati,21,Italy,58,Ascoli,Right,18,2020,69,159,CALCIO B,No Speciality
A. Appiah,17,England,58,Nottingham Forest,Left,43,2020,68,139,0,No Speciality
L. Klemenz,22,Poland,58,Jagiellonia Białystok,Right,4,2022,75,194,0,No Speciality
P. Tomczyk,20,Poland,58,Lech Poznań,Right,8,2021,72,168,EKSTRAKLASA,Speedster
A. Oteh,19,England,58,Queens Park Rangers,Right,18,2021,72,161,0,No Speciality
K. Hattanda,28,Japan,58,Nagoya Grampus,Right,21,2018,67,141,MEIJI YASUDA J1,No Speciality
M. Bayo,20,France,58,Clermont Foot 63,Right,27,2020,74,168,0,No Speciality
H. Hyseni,25,Germany,58, SSV Jahn Regensburg,Right,34,2019,76,194,0,No Speciality
N. D'Agostino,20,Australia,58,Brisbane Roar,Right,26,2019,69,165,HYUNDAI A-LEAGUE,No Speciality
M. Jeahze,21,Sweden,58,IF Brommapojkarna,Left,19,2021,65,143,0,No Speciality
N. Gallardo,20,Argentina,58,River Plate,Left,36,2021,70,159,SAF,No Speciality
C. Trejo,18,Mexico,58,Club Atlas,Right,33,2021,70,154,0,No Speciality
S. High,17,England,58,Huddersfield Town,Right,46,2019,70,143,PREMIER LEAGUE,No Speciality
L. Maniero,19,Italy,58,Cittadella,Right,25,2019,69,157,CALCIO B,No Speciality
M. Obiero,17,England,58,Huddersfield Town,Right,49,2019,70,150,PREMIER LEAGUE,No Speciality
C. Maycock,20,England,58,Macclesfield Town,Right,18,"Jan 5, 2019",72,157,0,No Speciality
T. Attis,18,Argentina,58,Belgrano de Córdoba,Right,28,2019,71,172,0,No Speciality
A. Tecpanécatl,20,Mexico,58,Puebla FC,Right,30,2021,67,154,0,No Speciality
M. Talbi,20,France,58,Çaykur Rizespor,Right,3,2021,70,163,SÜPER LIG,No Speciality
E. Herrera,19,Colombia,58,Independiente Santa Fe,Right,27,2021,68,150,0,No Speciality
J. Veyna,23,Mexico,58,Club Necaxa,Right,20,2021,71,168,0,No Speciality
M. Reinthaler,23,Italy,58,FC Hansa Rostock,Right,14,2020,76,183,0,No Speciality
R. Benz,22,Germany,58,KFC Uerdingen 05,Right,36,2019,74,174,0,Goalkeeper
R. Fitzsimons,24,England,58,Notts County,Right,1,2020,73,165,EFL LEAGUE TWO,Goalkeeper
L. Desmond,23,Republic of Ireland,58,St. Patrick's Athletic,Left,5,2020,72,165,0,No Speciality
N. Strunck,18,Denmark,58,FC Nordsjælland,Right,19,2021,73,163,SUPERLIGA,No Speciality
H. Arellano,20,United States,58,LA Galaxy,Left,21,2021,71,165,MLS,No Speciality
M. Sevimler,19,Turkey,58,Alanyaspor,Right,82,2021,72,152,SÜPER LIG,No Speciality
D. Becker,20,Argentina,58,Rosario Central,Left,22,2020,67,146,SAF,No Speciality
Kim Jung Ho,23,Korea Republic,58,Incheon United FC,Right,44,2021,74,185,0,No Speciality
